Score,review_text
1,"Sprayed orange grease all over the inside of the microwave The pop-up bowl sounds like a great idea, but evidently they rushed it to market before all the bugs were out.<br /><br />The first bag I cooked was fine, except the instructions for opening the bag are far from clear, and even after you figure out how to do it it's a lot of trouble and makes a big mess.<br /><br />But the second bag evidently sprang a leak - it sprayed bright orange grease all over the inside of my microwave, even into the tiny vent holes inside the top and side. I always watch popcorn carefully while it pops, but I could not see the grease spray until after it was done and I opened the door. Cleaning it all out was a horrible ordeal, and I'm sure everything I cook in the microwave will come out smelling like popcorn grease for weeks.<br /><br />They released this product too soon. It needs serious redesign. I will not buy it again."
3,"Had higher expectations It is a naturally sweetened soda with Stevia, but I expect more robust flavor simular to Dr. Pepper.  I wouldn't even say it is close to Dr. Pepper.  I was disappointed, especially when I love the ""Cola"" flavor of Zevia so much."
5,Everything is as it should be I ordered these nuts...for both my own personal consumption...and my two African Greys Scaredy Bird and Reggie.<br /><br />I believe I can speak for all of us in saying that the nuts arrived on time and in delectable condition. They were fresh....and arrived not broken or damaged in any way.<br /><br />Diamond Nuts..has a high reputation with me---and they continue to prove their worth..by sending out a excellent product !<br /><br />I do --highly recommend this company--and this product !
5,"So Happy I found this; Product is Fabulous I decided to stop using sweet n' low for obvious reasons.  I hated the cost of buying the boxes of Splenda in my locale grocery, as it was so expensive.  When I googled Splenda and found this I was elated and ordered it right away.  I will order a second for my home upstate shortly, as I certainly cannot transport this box in an efficient manner  and I need it in my City location."
5,"Great tea, very satisfying Nice mellow tea for all occassions.  I'm an ex-coffee drinker searching for an alternative and this product fit nicely.  It's smooth, very satisfying.  Nice product."
5,"Excellent Tray for Freezing Homemade Food This freezer tray is excellent - I am actually purchasing another - now that the little one is eating more food,<br />I'd like to prepare more at once. Frozen items scoop out easily with a spoon. Easy to clean!"
5,"Great purchase for Multicultural learning. I bought this book for a lesson on Multiculturalism in the classroom.  I incorporated a puppet with the story, and the students loved it.  This is a must for any classroom."
4,"Really unusual gift for a friend My daughter went to Japan and brought back rice and bean paste desserts that each were inside cute paper boxes or baskets.  I found them to be delicious and so did our neighbor's daughter.  So when her birthday rolled around, she asked for these Japanese Tea Cakes.  We were delighted to discover that Amazon sold them and ordered these for her gift.  These are made from bean paste rather than rice.  The cakes were just as delicious as the ones my daughter brought back from Japan.  Highly recommended if you enjoy this sort of treat."
5,Best Litter Ever Used We have had cats for many years and this litter is the best by far of all the brands we tried.<br />I have found one trick to keeping this fom sticking to litterbox bags is to keep the plastic bag smooth on the bottom of box and litter clumps perfect every time.
2,"turkish taffy this taffy is not the same recipe as when I was a child. It is much darker, where the original was snow white . The taste is also different. It has a strong vanilla taste. I wont buy again.My carton came today, and each bar was all broken into small pieces.Very disapointed."
5,"Healthy choice for dog w/ food allergies/sensitive stomach My 8-year old Cocker Spaniel has been on several types of food (Nutro, Iams, Natural Balance, Chicken Soup for the Dog Lovers Soul, and regular Wellness). She would tolerate each for a short period of time, but then get diarrhea and would vomit. Our Vet suggested we try Wellness Simple Solutions, since it has only one protein and one carb source. We've had her on it for 3 months and she's shown no signs of upset stomach or irritable bowel. We suspect she is sensitive to chicken/chicken by-products, which the Rice and Salmon blend does not contain. The food is expensive, but it's worth the cost to have a healthy dog.....and clean house!"
5,"Works! It Does Depend On The Dog, Though... The Greenies I recently ordered here are working out great, for my dog who needs his thyroid meds.  He's usually pretty eager for any treat, though sometimes a little bit picky -- LOVES these, though.<br /><br />We have another dog that is extremely hard to 'fool' with meds, and Greenies didn't work for her.  So, it does depend on the dog, but Greenies probably work for most."
5,"Very strong , flavorful coffee at a great price They come in bags, I think nitrogen sealed. It is enough to last a week each bag.<br /><br />Flavor: Very bold, very strong but not bitter or acidic. Very much like costco coffee<br />but far more flavorful and complex.<br /><br />Can do a full 10 oz and it is still strong with milk.<br /><br />Less plastic to waste"
4,"C.E.T. enzymatic chews for dogs We are on our 3rd order for these chews for our 2 Scottish Terriers and have been very pleased with the results.  The only thing we dislike is that the price keeps going up.  If this continues, we will not be ordering again!  They work well but don't know if they are worth the price since we have 2 dogs, it gets a little pricey."
5,"sparkling clean dishwasher This product works wonders in my dishwasher. I live in the midwest and we have hard water. My dishwasher began having a white film on my glasses and dishes. The dishes weren't looking clean anymore and the inside of the dishwasher had the film all over. I tried running a cycle with vinegar and that helped some, but I was worried that my dishwasher was going to have major problems. I read about using citric acid cyrstals to remove the film. With no luck at finding citric acid around my area, I ordered it from Amazon. I got it quickly and used it immediately. It took 3 cycles to really remove the film and make my dishwasher look like new. Using the citric acid every couple of weeks keeps my dishwasher sparkling clean."
4,"Delicious! I got Texas BBQ, Garlic, and tomato/garlic flavors. My favorite was BBQ and tomato/garlic ones. I would love to purchase them again!<br />Also, they were pretty filling! :)"
5,Small Breat Board - pretty and useful This product is exactly as described and shown in photo.  It is a very pretty bread (cutting) board that can live out on a counter decoratively.  Nice purchase.
5,Great! I tried this when we went to Scotland and loved it.  I found some in the states at a Scottish festival and bought it on the spot!  Really different that what you get in America - like a Scottish coca-cola with a slight bubble gum flavor. Really reminds me of a great trip!
5,Cadbury Lover Cadbury chocolate is far superior to any american manufactured chocolate!  I put these caramello bars in my brownie batter and they turn into the most delicious carmel brownies ever!! They disappear at every party I bring them too!! I wish the product  was more readily available.
3,"VH choc raspberry truffle k cups recently tried the choc raspberry k cups.  I am not fond of the flavor.  It smells delish, but, definately not enough chocolate flavor for me.  I find that by combining a hot chocolate k cup, along with a bold coffee, I get the desired flavor that I enjoy.  For someone who enjoys a hint of flavor, the VH chocolate raspberry truffle k cups would be excellent. Thank you."
